Timestamp,Name,Action,Status,Image_Path,Confidence
2025-11-20 15:05:44,k,MISSING_ACTION,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\k_capture_20251120_150544.jpg,1.0
2025-11-20 15:05:47,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:05:50,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:05:53,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:05:56,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:06:41,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:07:27,ku,MISSING_ACTION,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\ku_capture_20251120_150727.jpg,1.0
2025-11-20 15:07:30,ku,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:07:33,ku,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:35,kkk,MISSING_ACTION,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\kkk_capture_20251120_151735.jpg,1.0
2025-11-20 15:17:35,kk,MISSING_ACTION,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\kk_capture_20251120_151735.jpg,1.0
2025-11-20 15:17:35,ku,MISSING_ACTION,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\ku_capture_20251120_151735.jpg,1.0
2025-11-20 15:17:35,k,MISSING_ACTION,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\k_capture_20251120_151735.jpg,1.0
2025-11-20 15:17:38,kkk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:38,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:38,ku,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:38,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:41,kkk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:41,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:41,ku,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:41,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:45,kkk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:45,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:45,ku,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:45,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:48,kkk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:48,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:48,ku,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:48,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:51,kkk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:51,kk,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:51,ku,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:17:51,k,MISSING_ACTION,ALERT,N/A,1.0
2025-11-20 15:23:17,kk,MISSING,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\kk_capture_20251120_152317.jpg,1.0
2025-11-20 15:23:30,kk,MISSING,ALERT,N/A,1.0
2025-11-20 15:23:33,kk,MISSING,ALERT,N/A,1.0
2025-11-20 15:23:36,kk,MISSING,ALERT,N/A,1.0
2025-11-20 15:23:40,kk,MISSING,ALERT,N/A,1.0
2025-11-20 15:24:10,FUGITIVE_fug,DETECTED,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\FUGITIVE_fug_capture_20251120_152410.jpg,1.0
2025-11-20 15:24:15,FUGITIVE_fug,DETECTED,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\FUGITIVE_fug_capture_20251120_152415.jpg,1.0
2025-11-20 15:34:45,FUGITIVE_jk,DETECTED,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\FUGITIVE_jk_capture_20251120_153445.jpg,1.0
2025-11-20 15:34:48,FUGITIVE_jk,DETECTED,ALERT,D:\GIT_HUB\12_Final_Projects_of_all\03_deep_learning\advance_alert_system\capture_snapshots\FUGITIVE_jk_capture_20251120_153448.jpg,1.0
